Category,Subcategory,Cost Item,Cost Type,Driver / Formula,Y1,Y2,Y3,Y4,Y5,Notes
Technology & Infrastructure,Product Development,Core platform development & iteration,Fixed,Team size × avg dev cost, €  100.00 ," €  1,000.00 ", €  -   , €  -   , €  -   ,
Technology & Infrastructure,Hosting & Servers - AI Validation,Image validation API calls,Variable,U × uploads_per_user × cost_per_validation, €  100.00 ," €  3,600.00 ", €  -   , €  -   , €  -   ,
Technology & Infrastructure,Hosting & Servers - Storage (Hot),AWS S3 Standard (30 days),Variable,U × uploads_per_user × avg_file_size × hot_storage_price, €  2.00 , €  84.00 , €  -   , €  -   , €  -   ,
Technology & Infrastructure,Hosting & Servers - Storage (Cold),AWS Glacier archive storage,Variable,U × uploads_per_user × pass_rate × avg_file_size × cold_storage_price × retention_months, €  0.33 , €  16.70 , €  -   , €  -   , €  -   ,
Technology & Infrastructure,Hosting & Servers - Bandwidth / Data Transfer,Outbound data transfer,Variable,download_rate × U × uploads_per_user × avg_file_size × egress_price, €  -   ," €  6,480.00 ", €  -   , €  -   , €  -   ,
Technology & Infrastructure,Maintenance,"Datapipeline, monitoring, security services",Variable,U × uploads_per_user × infra_ops_unit_cost, €  -   , €  2.00 , €  -   , €  -   , €  -   ,
Operations & Support,Customer Service,"User & task support, exception handling",Mixed,avg_cs_cost × U × exception_rate, €  -   , €  -   , €  -   , €  -   , €  -   ,
Operations & Support,Customer Connections,"Enterprise & NGO coordination, task setup",Mixed,enterprise_count × avg_connection_cost, €  100.00 ," €  1,000.00 ", €  -   , €  -   , €  -   ,
Operations & Support,Rewards Fulfillment (Warehousing & Shipping),"Storage, packing, shipping, loss",Variable,redemption_count × cost_per_redemption, €  500.00 ," €  5,000.00 ", €  -   , €  -   , €  -   ,
User Acquisition & Growth,Offline Marketing,"Events, partnerships, offline promos",Variable,campaign_count × avg_campaign_cost, €  500.00 ," €  5,000.00 ", €  -   , €  -   , €  -   ,
User Acquisition & Growth,Online Marketing,"Content, social, brand ads",Variable,U_target × cost_per_acquired_user, €  500.00 ," €  1,000.00 ", €  -   , €  -   , €  -   ,
User Acquisition & Growth,Performance Marketing,Paid acquisition (CPA),Fixed,new_users × CPA, €  500.00 ," €  1,000.00 ", €  -   , €  -   , €  -   ,
General & Administrative,Personnel,Staff salaries,Fixed,Headcount × avg_salary," €  5,000.00 "," €  5,000.00 ", €  -   , €  -   , €  -   ,40hrs*12*8per*13 
General & Administrative,Hardware,"Laptops, office equipment",Fixed,device_cost," €  3,000.00 "," €  3,000.00 "," €  3,000.00 "," €  3,000.00 ", €  -   ,
General & Administrative,Legal,"Entity setup, contracts, GDPR program",Fixed,Annual retainer + project fees, €  500.00 , €  500.00 , €  500.00 , €  500.00 , €  -   ,
General & Administrative,Accounting,Financial statements & compliance,Fixed,Annual accounting fee," €  3,000.00 "," €  3,000.00 "," €  3,000.00 "," €  3,000.00 ", €  -   ,
,,,,,,,,,,
,,,,,,,,,,
Totals,,,,,,,,,,
Total Technology & Infrastructure,,,,,€202,"€11,181",-,-,-,
Total Operations & Support,,,,,€600,"€6,000",-,-,-,
Total User Acquisition & Growth,,,,,"€1,500","€7,000",-,-,-,
Total General & Administrative,,,,,"€11,500","€11,500","€6,500","€6,500",-,
Grand Total,,,,,"€25,505","€58,361","€13,000","€13,000",-,
